,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kiama,AU,-34.6833,150.8667,61.0,90,88,3.87,overcast clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,60.94,82,20,11.5,few clouds
81,Madimba,TZ,-10.4,40.3333,76.33,72,32,11.18,scattered clouds
82,Tasiilaq,GL,65.6145,-37.6368,33.96,72,63,3.85,broken clouds
83,Jardim,BR,-21.4803,-56.1381,86.72,54,100,4.27,light rain
84,Korla,CN,41.7597,86.1469,57.34,21,43,1.3,scattered clouds
85,Mazagao,BR,-0.115,-51.2894,91.45,48,34,6.82,scattered clouds
86,Pelym,RU,61.0108,61.9978,41.4,86,52,5.48,broken clouds
87,Razole,IN,16.4833,81.8333,76.41,92,100,3.91,overcast clouds
88,Clyde River,CA,70.4692,-68.5914,26.83,93,100,16.11,overcast clouds
89,Qui Nhon,VN,13.7667,109.2333,75.76,81,100,9.28,overcast clouds
90,Atbasar,KZ,51.8,68.3333,44.42,49,100,11.54,overcast clouds
91,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,83,75,3.44,broken clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,6.91,overcast clouds
93,Chokurdakh,RU,70.6333,147.9167,13.53,96,99,9.64,overcast clouds
94,Hamirpur,IN,25.95,80.15,79.16,50,0,1.79,clear sky
95,Saldanha,ZA,-33.0117,17.9442,73.45,82,86,10.8,overcast clouds
96,Quatre Cocos,MU,-20.2078,57.7625,73.51,70,5,11.16,clear sky
97,Flinders,AU,-34.5833,150.8552,59.18,86,86,3.0,overcast clouds
98,Khatanga,RU,71.9667,102.5,19.99,97,100,3.33,overcast clouds
99,Banepa,NP,27.6298,85.5214,62.92,68,20,2.3,few clouds
100,Sinnamary,GF,5.3833,-52.95,86.74,64,10,8.55,clear sky
101,Khash,IR,28.2211,61.2158,71.04,12,1,11.74,clear sky
102,New Norfolk,AU,-42.7826,147.0587,49.5,68,22,1.99,few clouds
103,Barraute,CA,48.4335,-77.6328,41.27,87,100,4.03,overcast clouds
104,Montes Altos,BR,-5.8333,-47.0667,99.37,22,17,6.35,few clouds
105,Nishihara,JP,26.1842,127.7558,76.28,94,100,18.41,overcast clouds
106,Constitucion,CL,-35.3333,-72.4167,57.6,69,71,5.5,broken clouds
107,Dogondoutchi,NE,13.6393,4.0287,99.97,10,1,12.3,clear sky
108,Saint-Leu,RE,-21.15,55.2833,74.26,79,97,4.65,overcast clouds
109,Hay River,CA,60.8156,-115.7999,35.58,80,20,5.75,few clouds
110,Chicama,PE,-7.8447,-79.1469,57.74,67,86,6.42,overcast clouds
111,Benghazi,LY,32.1167,20.0667,73.35,54,6,23.17,clear sky
112,Itoman,JP,26.1247,127.6694,77.02,94,100,18.41,light rain
113,Busselton,AU,-33.65,115.3333,50.74,87,0,7.85,clear sky
114,Tazovskiy,RU,67.4667,78.7,34.21,98,100,8.25,overcast clouds
115,Dungarpur,IN,23.8333,73.7167,76.1,42,0,3.91,clear sky
116,Cabo San Lucas,MX,22.8909,-109.9124,79.52,67,8,4.61,clear sky
117,Tanete,ID,-3.9443,119.7848,76.14,95,100,1.14,light rain
118,Grindavik,IS,63.8424,-22.4338,43.27,75,75,8.05,broken clouds
119,Grand-Lahou,CI,5.1367,-5.0242,81.36,76,76,5.93,light rain
120,Coahuayana,MX,18.7333,-103.6833,82.71,77,100,1.45,overcast clouds
121,Tessalit,ML,20.1986,1.0114,97.29,11,6,14.14,clear sky
122,Cabiraoan,PH,18.3238,122.086,78.26,90,69,2.84,light rain
123,Dzilam Gonzalez,MX,21.2833,-88.9333,85.17,65,31,3.62,scattered clouds
124,Mazatlan,MX,23.2167,-106.4167,81.01,83,20,1.01,few clouds
125,Kapaa,US,22.0752,-159.319,73.72,87,75,1.01,broken clouds
126,Kamenka,RU,51.3223,42.7678,43.95,61,93,7.38,overcast clouds
127,Bethel,US,41.3712,-73.414,58.77,92,100,3.44,mist
128,Dalby,AU,-27.1833,151.2667,55.98,95,1,4.92,clear sky
129,Vao,NC,-22.6667,167.4833,72.46,74,96,3.98,overcast clouds
130,Port Alfred,ZA,-33.5906,26.891,74.17,67,44,5.01,scattered clouds
131,Isiro,CD,2.7739,27.616,71.37,96,99,1.79,light rain
132,Katsuura,JP,35.1333,140.3,71.62,87,100,18.25,light rain
133,Luderitz,NA,-26.6481,15.1594,67.08,64,4,15.9,clear sky
134,Inirida,CO,3.8653,-67.9239,87.78,57,83,2.51,broken clouds
135,Broken Hill,AU,-31.95,141.4333,64.72,38,100,14.65,moderate rain
136,Qaanaaq,GL,77.484,-69.3632,12.13,83,100,3.53,overcast clouds
137,Geraldton,AU,-28.7667,114.6,59.41,77,0,8.05,clear sky
138,Iznoski,RU,54.9881,35.3108,44.22,88,25,9.53,scattered clouds
139,Ekimchan,RU,53.0667,132.9667,25.12,73,10,1.63,clear sky
140,Kathu,TH,7.9178,98.3332,83.75,87,100,20.92,moderate rain
141,Codrington,AU,-38.2667,141.9667,42.08,82,81,10.87,broken clouds
142,Boa Vista,BR,2.8197,-60.6733,85.98,58,40,8.05,scattered clouds
143,Karratha,AU,-20.7377,116.8463,79.95,20,1,12.06,clear sky
144,Diamantino,BR,-14.4086,-56.4461,99.55,22,3,6.69,clear sky
145,Klyavlino,RU,54.2649,52.0267,41.67,77,24,7.34,few clouds
146,Bairiki,KI,1.3292,172.9752,82.4,78,20,10.36,few clouds
147,Sampang,ID,-7.1872,113.2394,81.7,79,100,11.25,overcast clouds
148,Cornwall,CA,45.0181,-74.7281,56.88,76,100,6.91,overcast clouds
149,Baykit,RU,61.67,96.37,32.7,68,100,0.96,overcast clouds
150,Surt,LY,31.2089,16.5887,75.42,53,36,11.23,scattered clouds
151,Lebu,CL,-37.6167,-73.65,58.89,75,58,5.79,broken clouds
152,Olafsvik,IS,64.8945,-23.7142,41.74,65,17,8.66,few clouds
153,Bandarbeyla,SO,9.4942,50.8122,78.64,80,0,10.2,clear sky
154,Vila Velha,BR,-20.3297,-40.2925,82.35,75,40,14.97,scattered clouds
155,Kalga,RU,50.9251,118.898,26.37,53,66,3.15,broken clouds
156,Tuy Hoa,VN,13.0833,109.3,75.43,88,100,6.44,overcast clouds
157,Rantepao,ID,-2.9701,119.8978,68.27,97,100,2.44,overcast clouds
158,Kavieng,PG,-2.5744,150.7967,82.06,77,100,13.18,overcast clouds
159,Aranda De Duero,ES,41.6704,-3.6892,71.44,43,98,9.17,overcast clouds
160,Ziro,IN,27.6333,93.8333,52.3,80,5,1.81,clear sky
161,Masvingo,ZW,-20.0637,30.8277,85.3,19,13,12.28,few clouds
162,Tigil,RU,57.8,158.6667,31.87,98,100,10.78,snow
163,Hvolsvollur,IS,63.7533,-20.2243,45.27,82,52,4.54,broken clouds
164,Namtsy,RU,62.7161,129.6658,23.27,90,100,10.87,overcast clouds
165,Paita,PE,-5.0892,-81.1144,68.54,69,38,10.11,scattered clouds
166,Belmonte,BR,-15.8631,-38.8828,79.2,69,35,8.19,scattered clouds
167,Sindor,RU,62.8629,51.8905,42.66,92,100,9.69,overcast clouds
168,Beloha,MG,-25.1667,45.05,73.2,73,3,19.1,clear sky
169,Victoria,HK,22.2855,114.1577,82.45,50,100,11.01,overcast clouds
170,Kloulklubed,PW,7.0419,134.2556,79.3,74,56,8.21,broken clouds
171,Chornukhy,UA,50.2673,32.942,49.87,52,13,7.07,few clouds
172,Prince Rupert,CA,54.3161,-130.3201,59.09,79,75,19.57,broken clouds
173,Tiksi,RU,71.6872,128.8694,13.23,89,96,17.0,overcast clouds
174,Puerto Escondido,MX,15.85,-97.0667,77.83,73,100,10.36,overcast clouds
175,Singosari,ID,-7.8924,112.6658,71.1,93,100,2.57,moderate rain
176,San Patricio,US,28.017,-97.5169,75.09,81,97,15.93,overcast clouds
177,Ponta Do Sol,PT,32.6667,-17.1,79.72,67,10,7.92,clear sky
178,Malakal,SS,9.5334,31.6605,77.38,85,45,5.91,light rain
179,Brokopondo,SR,4.75,-55.1667,83.59,66,100,1.19,overcast clouds
